web-scraper-order,web-scraper-start-url,treyrey,treyrey-href,nom,prix,adresse,image_lien-src
"1739757018-12","https://sn.coinafrique.com/categorie/autres-animaux","Vaches Montbéliarde","https://sn.coinafrique.com/annonce/autres-animaux/vaches-montbeliarde-4753936","","Prix sur demande","Pikine, Sénégal",""
"1739757048-13","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Scottish","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-4755374","","750 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739757076-14","https://sn.coinafrique.com/categorie/autres-animaux","Vache laitière Montbéliarde","https://sn.coinafrique.com/annonce/autres-animaux/vache-laitiere-montbeliarde-4765247","","Prix sur demande","Pikine, Sénégal",""
"1739757103-15","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Angora","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-4765270","","","",""
"1739757141-16","https://sn.coinafrique.com/categorie/autres-animaux","Chat persan","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-4785131","","400 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739757180-17","https://sn.coinafrique.com/categorie/autres-animaux","Poussin Cochin disponible","https://sn.coinafrique.com/annonce/autres-animaux/poussin-cochin-disponible-4794466","","","",""
"1739757211-18","https://sn.coinafrique.com/categorie/autres-animaux","Cochin Fauve","https://sn.coinafrique.com/annonce/autres-animaux/cochin-fauve-4794473","","","",""
"1739757250-19","https://sn.coinafrique.com/categorie/autres-animaux","Poussin dinde rouge","https://sn.coinafrique.com/annonce/autres-animaux/poussin-dinde-rouge-4794677","","","",""
"1739757288-20","https://sn.coinafrique.com/categorie/autres-animaux","Chat scotish","https://sn.coinafrique.com/annonce/autres-animaux/chat-scotish-4803206","","700 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739757321-21","https://sn.coinafrique.com/categorie/autres-animaux","Paon","https://sn.coinafrique.com/annonce/autres-animaux/paon-4804686","","65 000 CFA","Yoff, Dakar, Sénégal",""
"1739757363-22","https://sn.coinafrique.com/categorie/autres-animaux","Foin","https://sn.coinafrique.com/annonce/autres-animaux/foin-4807500","","5 000 CFA","Saint Louis, Sénégal",""
"1739757404-23","https://sn.coinafrique.com/categorie/autres-animaux","Scottish fold et scottish straight de race pure","https://sn.coinafrique.com/annonce/autres-animaux/scottish-fold-et-scottish-straight-de-race-pure-4808971","","","",""
"1739757445-24","https://sn.coinafrique.com/categorie/autres-animaux","Chatons Persan pure race","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persan-pure-race-4808981","","500 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739757476-25","https://sn.coinafrique.com/categorie/autres-animaux","Persan pure race","https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-4818301","","","",""
"1739757506-26","https://sn.coinafrique.com/categorie/autres-animaux","Perruches ondulées blanches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-blanches-4846024","","","",""
"1739757541-27","https://sn.coinafrique.com/categorie/autres-animaux","Perruche ondulée","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846053","","30 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
"1739757575-28","https://sn.coinafrique.com/categorie/autres-animaux","Perruche ondulée","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846061","","30 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
"1739757605-29","https://sn.coinafrique.com/categorie/autres-animaux","Vache montbéliardes","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliardes-4851931","","Prix sur demande","Pikine, Sénégal",""
"1739757661-30","https://sn.coinafrique.com/categorie/autres-animaux","Bœufs race Goudali","https://sn.coinafrique.com/annonce/autres-animaux/bufs-race-goudali-4853741","","","",""
"1739757691-31","https://sn.coinafrique.com/categorie/autres-animaux","Siamois","https://sn.coinafrique.com/annonce/autres-animaux/siamois-4855435","","240 000 CFA","Sacré-Coeur, Dakar, Sénégal",""
"1739757726-32","https://sn.coinafrique.com/categorie/autres-animaux","Chaton hiamalayen","https://sn.coinafrique.com/annonce/autres-animaux/chaton-hiamalayen-4864117","","","",""
"1739757759-33","https://sn.coinafrique.com/categorie/autres-animaux","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-4864739","","Prix sur demande","Diourbel, Sénégal",""
"1739757793-34","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4869182","","750 000 CFA","Tambacounda, Sénégal",""
"1739757839-35","https://sn.coinafrique.com/categorie/autres-animaux","vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-4878570","","","",""
"1739757882-36","https://sn.coinafrique.com/categorie/autres-animaux","Œufs de caille","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880849","","","",""
"1739757930-37","https://sn.coinafrique.com/categorie/autres-animaux","Œufs de caille","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880858","","","",""
"1739757965-38","https://sn.coinafrique.com/categorie/autres-animaux","Autruche","https://sn.coinafrique.com/annonce/autres-animaux/autruche-4885138","","50 000 CFA","Bambey, Sénégal",""
"1739757998-39","https://sn.coinafrique.com/categorie/autres-animaux","Chatons persans chinchillas purs","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persans-chinchillas-purs-4888897","","","",""
"1739758027-40","https://sn.coinafrique.com/categorie/autres-animaux","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-4895608","","","",""
"1739758060-41","https://sn.coinafrique.com/categorie/autres-animaux","Poisson Aquarium","https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-4898597","","7 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739758093-42","https://sn.coinafrique.com/categorie/autres-animaux","Perroquets","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-4903200","","50 000 CFA","Point E, Dakar, Sénégal",""
"1739758123-43","https://sn.coinafrique.com/categorie/autres-animaux","Dinde rouge Ardenne","https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-ardenne-4917420","","","",""
"1739758156-44","https://sn.coinafrique.com/categorie/autres-animaux","Poussins de canard","https://sn.coinafrique.com/annonce/autres-animaux/poussins-de-canard-4917429","","3 000 CFA","Guediawaye, Dakar, Sénégal",""
"1739758195-45","https://sn.coinafrique.com/categorie/autres-animaux","Chatons","https://sn.coinafrique.com/annonce/autres-animaux/chatons-4922546","","Prix sur demande","Mariste, Dakar, Sénégal",""
"1739758229-46","https://sn.coinafrique.com/categorie/autres-animaux","Chat","https://sn.coinafrique.com/annonce/autres-animaux/chat-4928423","","","",""
"1739758277-47","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Persan Peaky Face","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-peaky-face-4941927","","","",""
"1739758318-48","https://sn.coinafrique.com/categorie/autres-animaux","Pintade noire","https://sn.coinafrique.com/annonce/autres-animaux/pintade-noire-4942157","","","",""
"1739758364-49","https://sn.coinafrique.com/categorie/autres-animaux","Chaton","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4956743","","350 000 CFA","Dakar, Sénégal",""
"1739758395-50","https://sn.coinafrique.com/categorie/autres-animaux","Cailles de chair","https://sn.coinafrique.com/annonce/autres-animaux/cailles-de-chair-4957482","","500 CFA","Colobane, Dakar, Sénégal",""
"1739758445-51","https://sn.coinafrique.com/categorie/autres-animaux","Hamster","https://sn.coinafrique.com/annonce/autres-animaux/hamster-4962365","","5 000 CFA","Almadies, Dakar, Sénégal",""
"1739758484-52","https://sn.coinafrique.com/categorie/autres-animaux","Œufs de caille","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4962446","","","",""
"1739758512-53","https://sn.coinafrique.com/categorie/autres-animaux","Perroquet","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-4967605","","35 000 CFA","Dakar, Sénégal",""
"1739758543-54","https://sn.coinafrique.com/categorie/autres-animaux","Bleus","https://sn.coinafrique.com/annonce/autres-animaux/bleus-4974963","","225 000 CFA","Dakar, Sénégal",""
"1739758577-55","https://sn.coinafrique.com/categorie/autres-animaux","Tortue","https://sn.coinafrique.com/annonce/autres-animaux/tortue-4976748","","35 000 CFA","Ouest Foire, Dakar, Sénégal",""
"1739758607-56","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4995019","","Prix sur demande","Dakar, Sénégal",""
"1739758635-57","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-4996496","","","",""
"1739758666-58","https://sn.coinafrique.com/categorie/autres-animaux","Chat Siamois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4997392","","","",""
"1739758697-59","https://sn.coinafrique.com/categorie/autres-animaux","Couple dinde","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-5001804","","30 000 CFA","Guediawaye, Dakar, Sénégal",""
"1739758733-60","https://sn.coinafrique.com/categorie/autres-animaux","Caille","https://sn.coinafrique.com/annonce/autres-animaux/caille-5001807","","500 CFA","Parcelle Assainies, Dakar, Sénégal",""
"1739758766-61","https://sn.coinafrique.com/categorie/autres-animaux","Chèvre","https://sn.coinafrique.com/annonce/autres-animaux/chevre-5009683","","650 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1739758813-62","https://sn.coinafrique.com/categorie/autres-animaux","Chaton de 1 mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-de-1-mois-5017864","","350 000 CFA","Dakar, Sénégal",""
"1739758852-63","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-5022926","","","",""
"1739758896-64","https://sn.coinafrique.com/categorie/autres-animaux","Couples Dindons","https://sn.coinafrique.com/annonce/autres-animaux/couples-dindons-5034401","","","",""
"1739758948-65","https://sn.coinafrique.com/categorie/autres-animaux","Dindes","https://sn.coinafrique.com/annonce/autres-animaux/dindes-5035473","","65 000 CFA","Mbao, Dakar, Sénégal",""
"1739758980-66","https://sn.coinafrique.com/categorie/autres-animaux","British et scottish pure race","https://sn.coinafrique.com/annonce/autres-animaux/british-et-scottish-pure-race-5041101","","750 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739759018-67","https://sn.coinafrique.com/categorie/autres-animaux","persan pure race","https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-5041103","","400 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739759051-68","https://sn.coinafrique.com/categorie/autres-animaux","Himalayen","https://sn.coinafrique.com/annonce/autres-animaux/himalayen-5041105","","200 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739759120-69","https://sn.coinafrique.com/categorie/autres-animaux","Mondain","https://sn.coinafrique.com/annonce/autres-animaux/mondain-5041931","","","",""
"1739759168-70","https://sn.coinafrique.com/categorie/autres-animaux","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5042261","","","",""
